Name,Mid-2008 Population,Inflow 2008,Outflow 2008,Net Migration Rate 2008,Mid-2009 Population,Inflow 2009,Outflow 2009,Net Migration Rate 2009,Mid-2010 Population,Inflow 2010,Outflow 2010,Net Migration Rate 2010,Mid-2011 Population,Inflow 2011,Outflow 2011,Net Migration Rate 2011,Mid-2012 Population,Inflow 2012,Outflow 2012,Net Migration Rate 2012 ,Mid-2013 Population,Inflow 2013,Outflow 2013,Net Migration Rate 2013,Mid-2014 Population,Inflow 2014,Outflow 2014,Net Migration Rate 2014,Mid-2015 Population,Inflow 2015,Outflow 2015,Net Migration Rate 2015,Mid-2016 Population,Inflow 2016,Outflow 2016,Net Migration Rate 2016,,Mid-2017 Population,Net Migration Rate 2017,Inflow 2017,Outflow 2017
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
England,"51,815,853","553,735","316,545",5,"52,196,381","525,074","350,353",3,"52,642,452","514,257","294,075",4,"53,107,169","536,020","301,012",4,"53,493,729","455,219","300,881",3,"53,865,817","449,062","274,226",3,"54,316,618","520,941","277,380",4,"54,786,327","568,685","261,367",6,"55,268,067","579,326","277,709",5,,"55,619,430",4,"512,075","301,505"
Northern Ireland,"1,779,152","18,261","11,981",4,"1,793,333","14,404","11,406",2,"1,804,833","13,877","12,115",1,"1,814,318","13,401","14,097",0,"1,823,634","12,922","12,480",0,"1,829,725","12,736","13,623",0,"1,840,498","13,300","11,063",1,"1,851,621","13,093","10,298",2,"1,862,137","12,998","11,540",1,,"1,870,834",0,"11,310","10,727"
Scotland,"5,202,900","45,200","30,300",3,"5,231,900","45,100","24,800",4,"5,262,200","47,400","24,600",4,"5,299,900","44,200","16,900",5,"5,313,600","35,900","26,200",2,"5,327,700","28,200","26,100",0,"5,347,600","33,200","25,200",1,"5,373,000","37,800","18,200",4,"5,404,700","40,400","17,500",4,," 5,424,800 ",2," 32,900 "," 19,500 "
Wales,"3,025,867","17,378","10,270",2,"3,038,872","16,674","10,741",2,"3,049,971","14,670","14,447",0,"3,063,758","13,241","11,232",1,"3,074,067","13,713","12,579",0,"3,082,412","13,725","6,414",2,"3,092,036","15,180","9,283",2,"3,099,086","16,699","10,777",2,"3,113,150","16,826","7,150",3,,"3,125,165",2,"15,230","10,140"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
North East,"2,569,312","15,542","9,551",2,"2,575,441","14,841","7,262",3,"2,586,868","15,154","6,117",3,"2,596,441","16,493","8,473",3,"2,602,387","12,251","8,916",1,"2,610,563","13,082","6,524",3,"2,618,736","14,430","10,108",2,"2,624,579","15,132","8,821",2,"2,636,589","15,292","6,001",4,,"2,644,727",2,"13,837","8,678"
North West,"6,958,547","49,239","35,752",2,"6,986,156","44,282","32,167",2,"7,019,921","40,929","25,810",2,"7,055,961","48,677","30,939",3,"7,084,470","40,655","26,578",2,"7,103,488","40,349","30,631",1,"7,133,026","46,003","32,388",2,"7,175,178","51,633","28,038",3,"7,223,961","55,689","30,039",4,,"7,258,627",2,"47,712","36,148"
Yorkshire and The Humber,"5,198,675","40,949","17,466",5,"5,223,344","37,688","22,401",3,"5,254,788","35,412","15,130",4,"5,288,212","38,664","16,106",4,"5,316,897","32,096","21,060",2,"5,337,940","32,282","19,634",2,"5,360,117","36,407","24,706",2,"5,390,211","39,571","19,051",4,"5,425,370","40,702","21,196",4,,"5,450,130",3,"36,667","22,132"
East Midlands,"4,441,125","35,939","18,280",4,"4,471,653","31,534","14,712",4,"4,507,071","30,950","15,899",3,"4,537,448","32,042","18,069",3,"4,567,798","27,744","18,496",2,"4,598,548","30,240","17,588",3,"4,637,369","33,159","13,841",4,"4,677,425","37,107","14,814",5,"4,725,390","38,712","14,965",5,,"4,771,666",4,"33,431","14,119"
West Midlands,"5,496,240","42,198","16,400",5,"5,528,007","39,289","25,213",3,"5,565,866","38,962","21,389",3,"5,608,667","45,305","24,519",4,"5,642,763","36,192","20,422",3,"5,675,030","36,422","22,421",2,"5,713,439","42,317","22,645",3,"5,755,032","50,357","22,140",5,"5,810,773","54,885","19,608",6,,"5,860,706",5,"45,319","17,095"
East,"5,708,350","46,028","28,469",3,"5,751,443","46,764","35,765",2,"5,807,402","44,596","22,114",4,"5,862,418","43,198","25,260",3,"5,905,914","36,974","29,012",1,"5,951,934","35,754","23,234",2,"6,017,250","41,234","19,422",4,"6,075,970","46,207","18,594",5,"6,129,005","47,634","26,002",4,,"6,168,432",2,"41,488","26,481"
London,"7,812,161","206,223","98,754",14,"7,942,594","202,690","118,891",11,"8,061,495","205,796","124,619",10,"8,204,407","205,343","102,326",13,"8,308,833","176,340","107,159",8,"8,417,458","170,054","90,237",9,"8,539,398","200,902","93,495",13,"8,666,930","212,837","86,447",15,"8,769,659","208,593","94,368",13,,"8,825,001",9,"190,401","106,913"
South East,"8,426,399","80,267","57,302",3,"8,490,922","75,337","59,996",2,"8,577,771","70,621","41,452",3,"8,652,784","71,385","53,739",2,"8,724,928","62,546","49,177",2,"8,793,154","60,068","43,989",2,"8,874,005","71,392","37,464",4,"8,949,392","77,609","40,764",4,"9,030,347","79,278","38,103",5,,"9,080,825",3,"69,230","43,573"
South West,"5,205,044","37,350","34,571",1,"5,226,821","32,649","33,946",0,"5,261,270","31,837","21,545",2,"5,300,831","34,913","21,581",3,"5,339,739","30,421","20,061",2,"5,377,702","30,811","19,968",2,"5,423,278","35,097","23,311",2,"5,471,610","38,232","22,698",3,"5,516,973","38,541","27,427",2,,"5,559,316",1,"33,990","26,366"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Buckinghamshire,"496,371","3,735","3,195",1,"498,813","3,408","3,452",0,"502,820","3,359","2,678",1,"506,550","3,810","3,404",1,"510,983","2,894","3,057",0,"515,533","2,823","2,603",0,"520,900","3,406","2,214",2,"527,114","3,966","2,484",3,"533,056","4,047","2,324",3,,"535,918",2,"3,482","2,459"
Cambridgeshire,"600,808","7,374","5,785",3,"606,238","9,119","7,811",2,"614,899","9,260","4,455",8,"622,312","7,841","4,958",5,"625,908","7,758","7,553",0,"628,918","6,847","5,135",3,"635,186","7,421","4,691",4,"641,524","7,864","4,355",5,"644,575","7,749","5,946",3,,"648,237",2,"7,080","5,865"
Cumbria,"500,916","1,916","1,694",0,"500,786","1,798","1,238",1,"500,165","1,179","1,154",0,"499,817","1,583","1,273",1,"499,205","1,336","1,169",0,"498,499","1,253","1,128",0,"498,376","1,378","1,358",0,"498,581","1,580","1,238",1,"498,793","1,592","1,126",1,,"498,375",0,"1,394","1,529"
Derbyshire,"761,238","1,647","1,283",0,"764,317","1,352","1,041",0,"767,948","1,088",987,0,"770,688","1,609","1,347",0,"773,726","1,230","1,004",0,"776,639","1,305",950,0,"780,382","1,484",656,1,"783,082","1,597",740,1,"786,734","1,610",822,1,,"791,966",1,"1,508",798
Devon,"739,921","3,518","4,606",-1,"740,988","3,806","4,758",-1,"743,908","3,982","3,026",1,"747,709","4,690","2,782",3,"753,102","3,803","1,990",2,"757,930","3,992","2,070",3,"764,702","4,360","2,337",3,"772,406","4,582","2,097",3,"778,831","4,474","2,901",2,,"787,171",2,"4,019","2,673"
Dorset,"411,044","1,423","2,468",-3,"410,844","1,338","2,779",-4,"412,015","1,033","1,543",-1,"413,813","1,267","1,128",0,"414,965","1,266","1,028",1,"417,025","1,153",893,1,"418,498","1,404",961,1,"420,847","1,462",824,2,"422,933","1,381",840,1,,"424,667",1,"1,285",777
East Sussex,"519,197","2,596","2,795",0,"520,370","2,287","2,652",-1,"523,651","1,957","1,684",1,"527,209","2,358","2,197",0,"531,088","2,295","2,048",0,"534,904","2,012","1,548",1,"540,503","2,297","1,230",2,"545,021","2,382","1,229",2,"549,557","2,641","1,100",3,,"552,259",2,"2,287","1,193"
Essex,"1,373,172","6,238","5,058",1,"1,379,503","6,263","6,467",0,"1,388,913","6,068","3,193",2,"1,396,599","6,667","4,519",2,"1,407,084","5,457","3,893",1,"1,417,596","5,357","3,374",1,"1,433,282","6,424","2,978",2,"1,445,323","7,458","2,655",3,"1,457,910","7,489","3,866",2,,"1,468,177",2,"6,531","3,679"
Gloucestershire,"587,610","4,013","4,859",-1,"590,480","3,139","2,972",0,"594,097","3,217","2,178",2,"598,289","3,273","1,805",2,"602,216","3,136","2,247",1,"605,959","2,689","2,050",1,"611,739","3,277","2,347",2,"617,527","3,396","2,321",2,"623,094","3,433","2,578",1,,"628,139",1,"3,098","2,407"
Hampshire,"1,293,565","6,916","5,918",1,"1,301,706","6,291","5,669",0,"1,312,347","5,737","4,151",1,"1,322,118","6,028","5,130",1,"1,331,394","4,902","4,090",1,"1,340,180","4,555","4,020",0,"1,349,627","5,440","3,070",2,"1,356,994","5,543","3,417",2,"1,365,103","5,741","3,118",2,,"1,370,728",1,"5,094","3,543"
Hertfordshire,"1,085,434","7,956","5,334",2,"1,096,599","7,785","6,288",1,"1,107,641","7,095","5,172",2,"1,119,824","7,199","5,439",2,"1,129,291","6,017","6,300",0,"1,140,618","6,238","4,857",1,"1,154,195","7,627","3,626",3,"1,165,332","8,372","3,539",4,"1,176,386","8,967","4,329",4,,"1,180,934",2,"7,700","4,897"
Kent,"1,423,308","10,923","6,251",3,"1,435,269","9,870","6,971",2,"1,451,905","9,675","4,708",3,"1,466,466","9,400","6,602",2,"1,480,151","8,623","6,074",2,"1,493,114","7,821","5,247",2,"1,509,301","9,591","4,600",3,"1,523,100","10,402","4,503",4,"1,540,438","10,610","4,215",4,,"1,554,636",3,"9,384","4,861"
Lancashire,"1,163,352","7,557","5,205",2,"1,164,141","6,000","3,687",2,"1,167,579","5,618","2,555",3,"1,171,558","6,767","3,393",3,"1,175,370","5,527","3,208",2,"1,178,594","5,415","3,777",1,"1,182,605","6,036","3,973",2,"1,188,875","6,492","3,336",3,"1,195,418","6,835","3,871",2,,"1,201,855",1,"6,112","4,408"
Leicestershire,"639,236","3,794","2,297",2,"642,255","3,014","1,629",2,"646,292","3,086","1,794",2,"651,179","3,589","1,707",3,"656,182","2,806","1,935",1,"660,917","2,514","1,614",1,"666,682","2,905","1,394",2,"673,410","3,005","1,567",2,"680,466","3,072","1,536",2,,"690,212",2,"2,774","1,321"
Lincolnshire,"700,780","6,221","2,610",5,"705,599","6,020","1,915",6,"711,805","5,435","1,740",5,"714,768","3,901","2,149",2,"719,184","3,759","2,008",2,"724,523","4,341","1,901",3,"731,886","4,732","1,339",5,"737,350","5,156","1,452",5,"744,811","5,350","1,514",5,,"751,171",4,"4,537","1,714"
Norfolk,"841,495","6,317","3,313",4,"846,355","5,967","3,708",3,"852,926","5,425","2,169",4,"859,426","5,643","2,109",4,"864,847","4,976","2,921",2,"870,296","5,189","2,674",3,"877,388","5,657","2,124",4,"884,748","6,207","1,933",5,"891,731","6,097","3,114",3,,"898,390",2,"5,383","3,265"
Northamptonshire,"678,201","5,686","3,436",3,"683,464","4,722","2,699",3,"688,011","4,414","3,129",2,"693,967","4,485","2,765",2,"700,331","4,294","2,900",2,"705,655","4,479","2,536",3,"713,351","5,656","2,054",5,"722,167","6,836","2,480",6,"732,452","7,639","2,563",7,,"741,209",5,"6,196","2,593"
North Yorkshire,"594,979","2,685","1,495",2,"596,396","2,814","2,312",1,"599,028","2,213","1,995",0,"601,206","2,428","1,806",1,"603,508","2,254","2,245",0,"604,724","2,069","1,613",1,"604,730","2,384","1,862",1,"606,017","2,296","1,475",1,"609,538","2,515","1,415",2,,"611,633",1,"2,342","1,589"
Nottinghamshire,"776,071","3,310","1,777",2,"780,105","2,653","1,296",2,"783,645","2,681","1,436",2,"786,796","3,001","1,964",1,"790,167","2,611","1,777",1,"796,423","2,647","1,639",1,"801,616","2,806","1,260",2,"806,217","3,178","1,327",2,"811,483","3,503","1,421",3,,"817,851",2,"3,023","1,469"
Oxfordshire,"638,784","9,811","7,773",3,"643,095","9,629","7,615",3,"648,688","8,531","4,967",5,"654,791","8,538","5,450",5,"660,009","7,683","6,216",2,"663,998","7,307","5,551",3,"669,377","8,862","4,791",6,"673,590","9,303","5,659",5,"678,484","9,372","5,297",6,,"682,444",3,"8,377","6,201"
Somerset,"525,668","3,237","2,586",1,"526,592","2,552","2,689",0,"528,609","2,332","1,659",1,"531,581","2,377","1,381",2,"535,197","2,124","1,371",1,"538,370","1,987","1,414",1,"542,203","2,360","1,367",2,"546,466","2,652","1,411",2,"551,446","2,763","1,576",2,,"555,195",1,"2,357","1,610"
Staffordshire,"838,142","3,338","1,486",2,"841,270","2,023","1,861",0,"845,272","2,010","1,357",1,"849,546","2,971","1,486",2,"852,039","2,490","1,411",1,"856,837","2,530","1,535",1,"859,870","2,981","1,439",2,"862,166","3,334","1,497",2,"866,430","3,446","1,457",2,,"870,825",2,"2,986","1,197"
Suffolk,"714,348","3,895","2,983",1,"718,183","3,475","4,065",-1,"723,976","2,707","2,261",1,"730,133","3,083","3,022",0,"732,802","2,932","2,566",0,"735,844","2,583","2,321",0,"742,499","3,086","1,794",2,"747,734","3,665","1,848",2,"751,175","3,807","2,461",2,,"756,978",1,"3,326","2,473"
Surrey,"1,104,242","11,651","9,695",2,"1,113,665","11,151","9,651",1,"1,125,804","10,091","6,714",3,"1,135,367","10,455","8,206",2,"1,144,046","9,021","8,050",1,"1,154,136","8,341","6,338",2,"1,164,095","9,528","5,650",3,"1,172,382","10,480","6,129",4,"1,180,956","10,902","5,476",5,,"1,185,321",3,"9,398","6,115"
Warwickshire,"539,384","4,089","1,744",4,"542,131","3,341","2,637",1,"544,166","2,942","2,781",0,"546,554","2,757","2,575",0,"548,320","2,517","2,249",0,"549,517","2,488","1,986",1,"552,450","3,476","2,240",2,"555,154","3,467","2,221",2,"558,991","3,870","2,102",3,,"564,562",3,"3,381","1,871"
West Sussex,"790,978","6,401","3,252",4,"796,039","5,744","3,335",3,"803,154","5,424","2,495",4,"808,919","4,399","2,966",2,"815,960","4,472","3,258",1,"822,940","4,226","2,761",2,"830,512","4,864","2,399",3,"838,525","5,134","2,536",3,"846,888","5,690","2,434",4,,"852,353",2,"4,726","2,923"
Worcestershire,"560,790","3,125","1,615",3,"562,296","2,563","2,282",0,"564,080","2,346","2,087",0,"566,557","2,300","1,893",1,"569,301","2,246","1,344",2,"572,613","2,251","1,323",2,"575,993","2,614","1,464",2,"579,050","2,836","1,525",2,"583,491","3,023","1,303",3,,"588,370",2,"2,584","1,224"
Greater Manchester (Met County),"2,620,007","24,331","14,830",4,"2,639,833","22,961","15,673",3,"2,661,841","21,472","12,876",3,"2,685,386","25,899","16,016",4,"2,701,377","21,659","14,457",3,"2,713,572","21,051","16,244",2,"2,730,123","24,061","16,691",3,"2,754,017","27,688","14,207",5,"2,780,844","30,298","15,240",5,,"2,798,799",3,"25,093","17,371"
Merseyside (Met County),"1,368,842","8,309","7,207",1,"1,371,789","7,891","6,165",1,"1,375,902","7,766","4,719",2,"1,380,770","9,110","5,285",3,"1,386,444","7,744","4,138",3,"1,388,143","7,958","5,122",2,"1,393,548","9,219","5,825",2,"1,401,516","10,161","4,970",4,"1,411,155","10,633","5,675",4,,"1,416,825",1,"9,462","7,603"
South Yorkshire (Met County),"1,315,448","10,492","3,989",5,"1,323,855","9,519","4,588",4,"1,332,871","8,834","3,121",4,"1,343,805","10,342","3,747",5,"1,352,382","9,169","4,797",3,"1,358,520","9,458","4,444",4,"1,366,088","10,166","5,342",4,"1,375,457","11,877","4,109",6,"1,385,413","11,786","4,931",5,,"1,393,445",4,"10,644","4,966"
West Midlands (Met County),"2,666,062","26,088","9,413",6,"2,687,116","26,295","15,471",4,"2,711,938","27,375","12,826",5,"2,739,733","32,608","16,276",6,"2,761,887","24,324","12,980",4,"2,781,753","24,977","14,811",4,"2,805,891","28,434","14,790",5,"2,834,490","34,997","14,177",7,"2,870,551","38,518","12,513",9,,"2,897,303",7,"30,997","10,614"
West Yorkshire (Met County),"2,185,043","19,992","9,363",5,"2,197,607","18,442","11,749",3,"2,212,556","17,542","7,685",4,"2,227,371","18,219","7,723",5,"2,240,388","14,549","10,014",2,"2,250,644","14,287","9,666",2,"2,261,757","16,535","12,500",2,"2,277,796","17,730","9,599",4,"2,295,025","18,767","10,544",4,,"2,307,035",3,"16,658","10,666"
Tyne and Wear (Met County),"1,091,129","9,281","5,435",4,"1,094,638","9,338","3,908",5,"1,100,024","9,795","3,122",6,"1,104,141","9,791","4,469",5,"1,107,684","7,691","5,500",2,"1,112,559","8,344","4,031",4,"1,117,332","8,879","6,154",2,"1,120,521","9,271","5,434",3,"1,126,417","8,990","3,723",5,,"1,129,538",2,"8,013","5,373"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hartlepool,"91,379",224,118,1,"91,530",179,113,1,"91,773",173,124,1,"92,088",259,160,1,"92,261",161,178,0,"92,662",264,141,1,"92,606",195,151,0,"92,498",223,123,1,"92,845",276,82,2,,"93,019",2,266,113
Middlesbrough,"137,885","1,474",685,6,"137,273","1,271",557,5,"137,667","1,532",564,7,"138,368","1,924",758,8,"138,726","1,014",619,3,"138,911","1,054",444,4,"138,991","1,197",723,3,"139,310","1,274",545,5,"140,326","1,625",391,9,,"140,639",5,"1,096",420
Redcar and Cleveland,"136,512",227,255,0,"135,867",248,233,0,"135,383",182,177,0,"135,164",347,309,0,"134,976",156,151,0,"134,960",151,84,0,"135,102",176,105,1,"135,324",211,129,1,"135,496",353,89,2,,"136,005",1,286,97
Stockton-on-Tees,"189,039",792,671,1,"189,978",744,551,1,"190,902",621,413,1,"191,824",827,598,1,"192,487",662,550,1,"193,433",732,412,2,"194,423",942,633,2,"195,128","1,012",552,2,"195,958","1,093",378,4,,"196,487",2,926,504
Darlington,"103,694",606,369,2,"104,355",501,402,1,"105,028",324,386,-1,"105,584",326,319,0,"105,503",252,310,-1,"105,726",238,235,0,"105,877",275,335,-1,"105,998",397,356,0,"106,327",335,181,1,,"106,347",0,358,351
Halton,"122,907",264,263,0,"123,636",205,207,0,"124,802",162,165,0,"125,722",271,205,1,"125,781",190,152,0,"126,074",177,226,0,"126,501",218,196,0,"126,719",270,190,1,"127,306",434,191,2,,"127,595",1,368,233
Warrington,"198,187","1,210",754,2,"200,057","1,059",674,2,"201,309",977,630,2,"202,709",939,652,1,"203,795",812,557,1,"205,165",933,738,1,"206,681","1,012",680,2,"207,781",919,629,1,"208,973","1,083",704,2,,"209,704",0,964,"1,021"
Blackburn with Darwen,"144,902","1,218",625,4,"146,197","1,085",643,3,"146,966",897,497,3,"147,657",856,585,2,"147,854",662,503,1,"147,763",659,533,1,"147,416",659,502,1,"147,856",854,411,3,"148,462","1,077",385,5,,"148,772",3,790,381
Blackpool,"142,921",904,"1,339",-3,"142,578",845,977,-1,"142,753",743,559,1,"142,080",513,771,-2,"142,037",563,423,1,"141,603",416,373,0,"140,898",530,431,1,"140,162",536,342,1,"139,983",618,364,2,,"139,870",1,612,477
"Kingston upon Hull, City of","256,746","3,186",904,9,"256,079","2,564","1,177",5,"256,174","2,382",770,6,"256,123","2,565",864,7,"257,012","1,954","1,381",2,"257,188","2,106","1,431",3,"257,414","2,383","1,724",3,"258,587","2,350","1,203",4,"260,035","2,780","1,507",5,,"260,673",2,"2,436","1,832"
East Riding of Yorkshire,"332,464","1,116",547,2,"332,748",951,679,1,"333,599",811,343,1,"334,673","1,055",394,2,"335,901",792,494,1,"336,072",806,551,1,"337,242",971,644,1,"336,756",931,597,1,"337,804",885,653,1,,"338,061",0,890,790
North East Lincolnshire,"158,708",570,158,3,"158,689",479,239,2,"158,951",393,135,2,"159,735",563,196,2,"159,788",345,261,1,"159,963",344,291,0,"160,019",455,331,1,"159,971",519,182,2,"159,828",627,289,2,,"159,826",1,526,337
North Lincolnshire,"164,519","1,016",191,5,"165,572",773,298,3,"166,539",799,186,4,"167,516",675,218,3,"168,351",703,291,2,"168,716",641,272,2,"169,213",729,334,2,"169,843",905,283,4,"170,807",832,315,3,,"171,294",2,773,385
York,"190,768","1,892",819,6,"192,398","2,146","1,359",4,"195,070","2,438",895,8,"197,783","2,817","1,158",8,"199,567","2,330","1,577",4,"202,113","2,571","1,366",6,"203,654","2,784","1,969",4,"205,784","2,963","1,603",7,"206,920","2,510","1,542",5,,"208,163",4,"2,398","1,567"
Derby,"241,865","2,414",935,6,"243,980","2,822",861,8,"247,035","2,870",766,9,"248,943","1,962","1,015",4,"250,582","1,578","1,327",1,"251,312","1,807","1,297",2,"252,313","1,994","1,045",4,"253,875","2,178","1,175",4,"256,203","2,464","1,086",5,,"257,034",4,"2,115","1,066"
Leicester,"315,473","5,992","3,280",9,"319,708","4,766","2,875",6,"324,912","5,535","3,412",7,"329,627","6,710","3,435",10,"332,067","5,330","3,680",5,"334,631","6,312","3,595",8,"338,491","6,945","2,925",12,"344,036","8,149","2,902",15,"349,513","7,908","2,857",14,,"353,540",12,"6,873","2,600"
Rutland,"37,478",165,124,1,"37,417",168,105,2,"37,670",149,137,0,"37,581",172,147,1,"37,096",130,141,0,"37,791",124,117,0,"38,263",162,65,3,"38,352",148,57,2,"38,949",147,53,2,,"39,474",2,131,58
Nottingham,"290,783","6,710","2,538",14,"294,808","6,017","2,291",13,"299,753","5,692","2,498",11,"303,899","6,613","3,540",10,"308,463","6,006","3,724",7,"310,657","6,711","3,939",9,"314,385","6,475","3,103",11,"318,936","6,860","3,114",12,"324,779","7,019","3,113",12,,"329,209",11,"6,274","2,500"
"Herefordshire, County of","181,791","1,862",513,7,"182,367","1,320",678,4,"182,865",994,579,2,"183,619","1,213",479,4,"185,197","1,771",560,7,"186,389","1,395",636,4,"187,737","1,554",581,5,"188,522","1,693",611,6,"189,532","1,486",448,5,,"191,041",5,"1,530",508
Telford and Wrekin,"164,089",821,306,3,"164,889",752,528,1,"165,641",751,389,2,"166,831",816,396,3,"167,811",706,385,2,"168,642",577,493,0,"169,768",750,435,2,"171,677",948,477,3,"173,727","1,054",411,4,,"175,768",3,877,396
Stoke-on-Trent,"245,509","1,914",690,5,"245,869","1,889",820,4,"247,381","1,601",562,4,"248,719","1,625",629,4,"249,792","1,282",866,2,"250,194","1,415",875,2,"250,956","1,524",939,2,"251,746","1,990",851,5,"253,659","2,362",730,6,,"255,378",5,"1,985",726
Bath and North East Somerset,"173,565","2,011","1,306",4,"173,360","2,147","1,947",1,"174,267","2,537","1,414",6,"175,538","2,722","1,526",7,"177,196","2,177","1,314",5,"179,460","2,410","1,091",7,"181,241","2,451","1,489",5,"184,287","2,861","1,339",8,"186,946","2,867","1,767",6,,"188,678",4,"2,389","1,555"
"Bristol, City of","414,822","6,652","4,609",5,"418,990","5,331","4,253",3,"423,044","5,274","3,651",4,"428,074","5,982","3,997",5,"433,043","5,121","4,007",3,"438,386","5,789","3,856",4,"443,791","6,419","4,774",4,"450,640","7,280","4,795",6,"455,966","7,240","6,153",2,,"459,252",1,"6,389","6,106"
North Somerset,"200,853",852,667,1,"201,711",787,609,1,"202,967",630,559,0,"203,091",695,544,1,"204,454",628,469,1,"206,182",589,462,1,"208,185",770,495,1,"209,941",822,519,1,"211,747",844,621,1,,"212,834",1,751,622
South Gloucestershire,"257,970","1,405",679,3,"259,730","1,354",694,3,"261,471","1,273",538,3,"263,417","1,400",578,3,"266,193","1,101",646,2,"268,951","1,515",829,3,"270,994","1,714","1,072",2,"273,952","1,847",863,4,"276,677","1,906","1,406",2,,"279,027",1,"1,609","1,324"
Plymouth,"252,488","2,494","2,031",2,"253,116","2,062","2,077",0,"254,227","2,145","1,028",4,"256,589","2,421","1,000",6,"257,744","1,806",961,3,"258,592","1,674","1,044",2,"260,512","2,093","1,304",3,"261,386","2,066","1,128",4,"262,355","1,953","1,317",2,,"263,070",3,"1,835","1,159"
Torbay,"132,070",943,"1,014",-1,"131,641",440,746,-2,"131,443",409,410,0,"131,193",448,423,0,"131,480",381,325,0,"132,201",403,221,1,"133,264",479,223,2,"133,791",490,249,2,"134,406",485,293,1,,"135,247",1,457,257
Bournemouth,"171,973","2,785","3,342",-3,"174,251","3,261","3,208",0,"179,308","3,571","1,206",13,"183,450","3,362","1,595",10,"186,290","3,324","1,844",8,"187,914","2,890","1,541",7,"189,636","3,361","2,313",6,"191,673","3,700","2,178",8,"193,653","3,808","2,650",6,,"194,752",4,"3,358","2,501"
Poole,"144,226","1,059","1,133",-1,"145,420",994,"1,141",-1,"146,754",756,455,2,"148,075",884,531,2,"148,499",789,562,2,"148,794",640,501,1,"149,709",754,583,1,"150,005",937,634,2,"150,711",868,670,1,,"151,270",1,785,624
Swindon,"201,521","2,111","1,089",5,"204,371","1,370","1,401",0,"206,939","1,007",862,1,"209,709","1,362","1,147",1,"211,918","1,281",756,2,"214,028","1,334",813,2,"215,991","1,562",937,3,"217,584","1,824",914,4,"218,580","1,972","1,104",4,,"220,363",3,"1,698","1,058"
Peterborough,"176,027","3,892","1,136",16,"178,963","3,567","1,347",12,"181,762","3,134",855,13,"184,457","2,579",839,9,"186,596","2,348","1,010",7,"188,371","2,368",912,8,"190,493","2,550",667,10,"193,657","2,758",667,11,"196,735","3,023","1,077",10,,"198,914",7,"2,613","1,203"
Luton,"192,084","4,456","1,351",16,"195,449","5,043","1,883",16,"199,583","5,559","1,297",21,"203,641","4,964","1,279",18,"205,498","3,613","1,757",9,"207,404","3,108","1,287",9,"210,173","3,638","1,154",12,"213,581","4,174","1,207",14,"215,914","4,656","1,743",13,,"214,658",10,"3,828","1,758"
Southend-on-Sea,"168,150","1,241","1,083",1,"170,013","1,021","1,275",-1,"172,122",908,686,1,"174,274",918,858,0,"175,091",663,687,0,"176,236",634,556,0,"178,367",754,457,2,"179,234",864,434,2,"180,606",879,558,2,,"181,808",2,796,478
Thurrock,"153,633","1,375",501,6,"155,003",961,757,1,"156,585",753,360,3,"158,268",807,451,2,"159,837",635,479,1,"161,305",714,444,2,"163,822",940,372,3,"166,040","1,211",356,5,"168,428","1,386",535,5,,"170,394",3,"1,109",571
Medway,"258,224","2,164",685,6,"260,230","1,716","1,011",3,"262,738","1,666",735,4,"264,885","1,566","1,283",1,"268,130","1,174","1,026",1,"270,689","1,141","1,165",0,"273,212","1,454",982,2,"275,176","1,529","1,047",2,"276,957","1,640",911,3,,"277,616",1,"1,422","1,042"
Bracknell Forest,"111,455","1,101",568,5,"111,916",985,738,2,"112,893",966,591,3,"113,696",970,747,2,"115,089",765,514,2,"116,543",734,506,2,"117,997",875,396,4,"119,205",966,406,5,"119,730",951,428,4,,"120,377",3,846,452
West Berkshire,"152,024","1,047","1,045",0,"153,039",963,"1,419",-3,"153,943",734,928,-1,"154,148",668,"1,238",-4,"154,704",658,607,0,"156,031",597,529,0,"156,633",757,466,2,"157,460",885,501,2,"158,576",868,463,3,,"158,473",1,777,583
Reading,"151,460","3,692","3,105",4,"152,326","3,255","3,350",-1,"154,296","3,259","1,929",9,"155,339","3,065","2,753",2,"156,795","2,637","2,035",4,"158,621","2,729","2,027",4,"160,268","3,370","1,714",10,"161,701","3,691","1,731",12,"162,701","3,727","1,714",12,,"163,075",9,"3,341","1,882"
Slough,"131,453","2,700",772,15,"134,742","2,682","1,250",11,"137,800","2,511","1,032",11,"140,713","2,329","1,575",5,"141,820","1,539","1,126",3,"142,672","1,456","1,131",2,"144,340","1,903",800,8,"146,038","2,301",917,9,"147,736","2,309",841,10,,"148,768",7,"2,024",992
Windsor and Maidenhead,"141,345","1,472",942,4,"142,424","1,260","1,294",0,"143,988","1,032",887,1,"145,098","1,168","1,106",0,"145,742",992,"1,130",-1,"146,278",976,871,1,"147,476","1,136",685,3,"148,277","1,286",724,4,"149,689","1,282",692,4,,"150,140",3,"1,139",754
