Name,Mid-2008 Population,Inflow 2008,Outflow 2008,Net Migration Rate 2008,Mid-2009 Population,Inflow 2009,Outflow 2009,Net Migration Rate 2009,Mid-2010 Population,Inflow 2010,Outflow 2010,Net Migration Rate 2010,Mid-2011 Population,Inflow 2011,Outflow 2011,Net Migration Rate 2011,Mid-2012 Population,Inflow 2012,Outflow 2012,Net Migration Rate 2012 ,Mid-2013 Population,Inflow 2013,Outflow 2013,Net Migration Rate 2013,Mid-2014 Population,Inflow 2014,Outflow 2014,Net Migration Rate 2014,Mid-2015 Population,Inflow 2015,Outflow 2015,Net Migration Rate 2015,Mid-2016 Population,Inflow 2016,Outflow 2016,Net Migration Rate 2016,,Mid-2017 Population,Net Migration Rate 2017,Inflow 2017,Outflow 2017
Greenwich,"239,748","5,298","2,676",11,"243,672","4,730","2,619",9,"249,171","5,728","2,848",12,"255,483","5,315","2,533",11,"259,986","4,677","2,199",10,"264,097","3,874","1,891",8,"268,853","4,575","1,686",11,"274,542","4,538","1,605",11,"279,139","4,747","1,952",10,,"282,849",7,"4,179","2,123"
Hackney,"231,041","5,770","2,302",15,"236,622","4,764","3,403",6,"241,739","4,255","3,670",2,"247,182","4,545","2,874",7,"252,212","4,529","3,026",6,"257,436","4,861","2,880",8,"263,112","5,285","2,780",10,"268,626","5,355","2,341",11,"273,239","5,583","2,752",10,,"275,929",6,"5,054","3,534"
Hammersmith and Fulham,"177,088","6,328","5,720",3,"180,116","7,146","6,799",2,"180,842","5,973","7,200",-7,"182,445","5,315","5,168",1,"182,117","5,116","5,362",-1,"181,421","5,021","4,511",3,"181,679","5,917","4,062",10,"182,183","5,913","3,526",13,"181,783","5,565","3,904",9,,"182,998",5,"5,333","4,336"
Haringey,"244,459","10,200","2,931",30,"249,805","9,225","4,425",19,"252,742","8,365","5,329",12,"255,540","6,921","3,554",13,"257,898","6,817","3,870",11,"261,033","6,776","3,266",13,"264,398","8,230","3,455",18,"268,251","8,259","3,053",19,"272,078","7,840","3,582",16,,"271,224",11,"7,480","4,460"
Harrow,"229,567","4,031","1,632",10,"233,495","4,513","1,824",12,"237,451","4,900","1,812",13,"240,499","3,805","1,334",10,"241,978","3,132","1,845",5,"243,004","2,871","1,688",5,"245,149","4,526","1,985",10,"246,818","5,332","1,956",14,"248,697","5,608","1,777",15,,"248,880",12,"4,742","1,707"
Havering,"231,793",915,463,2,"234,127",985,453,2,"236,234","1,015",354,3,"237,927",986,245,3,"239,742",733,466,1,"242,142",729,410,1,"246,030","1,139",467,3,"249,375","1,381",540,3,"253,371","1,750",613,4,,"256,039",3,"1,492",738
Hillingdon,"261,051","4,249","1,493",11,"265,665","4,146","1,899",8,"269,465","4,446","1,972",9,"275,499","6,279","1,873",16,"281,179","5,082","2,165",10,"285,996","4,364","1,771",9,"291,368","5,406","1,935",12,"296,056","5,821","2,048",13,"299,899","5,566","2,230",11,,"302,343",9,"5,000","2,187"
Hounslow,"237,907","8,465","3,646",20,"243,366","8,394","4,415",16,"249,236","8,900","5,073",15,"254,927","6,832","3,359",14,"258,518","4,896","2,607",9,"261,275","4,692","2,307",9,"264,030","5,614","2,401",12,"266,412","5,905","2,297",14,"268,270","6,294","2,427",14,,"269,100",11,"5,523","2,560"
Islington,"192,089","7,872","4,817",16,"196,704","7,885","5,285",13,"200,129","8,522","5,781",14,"206,285","10,314","5,104",25,"211,273","8,446","3,886",22,"215,855","7,480","3,659",18,"221,405","8,102","3,285",22,"227,507","8,987","3,254",25,"232,055","8,506","3,680",21,,"235,000",14,"7,712","4,385"
Kensington and Chelsea,"162,579","6,508","5,474",6,"161,893","6,012","6,466",-3,"160,463","5,975","6,706",-5,"158,251","5,052","5,772",-5,"156,912","4,563","4,900",-2,"157,141","4,436","4,041",3,"157,830","4,882","3,724",7,"158,589","5,049","3,587",9,"156,773","4,509","3,400",7,,"155,741",7,"4,429","3,410"
